route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,15,t708-b2332-slF,"Northside - TCAT",1,9010,39690_shp,0,0
13,15,t71C-b2332-slF,"Cayuga Park Medical Office - Downtown",0,9010,39697_shp,0,0
14,12,t25D-b1F43-slC,"Cayuga Medical Center Express",1,8003,39521_shp,0,0
14,12,t271-b1F43-slC,"Overlook-Linderman-W Village-Downtown",0,8003,39507_shp,0,0
14,12,t2BC-b1F43-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8003,39625_shp,0,0
14,12,t2D5-b1F43-slC,"Overlook-Linderman-W Village-Downtown",0,8003,39507_shp,0,0
14,12,t320-b1F52-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8018,39625_shp,0,0
14,12,t339-b1F52-slC,"Overlook-Linderman-W Village-Downtown",0,8018,39507_shp,0,0
14,12,t384-b1F43-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8003,39625_shp,0,0
14,12,t39F-b1F43-slC,"Overlook-Linderman-W Village-Downtown",0,8003,39507_shp,0,0
14,12,t3E8-b1F52-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8018,39625_shp,0,0
14,12,t3F4-b1F4B-slC,"W Hill-Shopping",1,8011,39392_shp,0,0
14,12,t403-b1F52-slC,"Overlook-Linderman-W Village-Downtown",0,8018,39507_shp,0,0
14,12,t44C-b1F43-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8003,39625_shp,0,0
14,12,t467-b1F43-slC,"Overlook-Linderman-W Village-Downtown",0,8003,39507_shp,0,0
14,12,t4B0-b1F52-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8018,39625_shp,0,0
14,12,t4CB-b1F52-slC,"Overlook-Linderman-W Village-Downtown",0,8018,39507_shp,0,0
14,12,t514-b1F51-slC,"West Vill - Prof Bldg - Cayuga Med Ctr",1,8017,39625_shp,0,0
14,12,t52F-b1F51-slC,"Overlook-Linderman-W Village-Downtown",0,8017,39507_shp,0,0
14,12,t578-b1F52-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8018,39546_shp,0,0
14,12,t59B-b1F52-slC,"West Hill - Downtown",0,8018,39644_shp,0,0
14,12,t5DC-b1F51-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8017,39546_shp,0,0
14,12,t5FF-b1F51-slC,"West Hill - Downtown",0,8017,39644_shp,0,0
14,12,t640-b1F52-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8018,39546_shp,0,0
14,12,t663-b1F52-slC,"West Hill - Downtown",0,8018,39644_shp,0,0
14,12,t6A4-b1F51-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8017,39498_shp,0,0
14,12,t6C7-b1F51-slC,"West Hill - Downtown",0,8017,39644_shp,0,0
14,12,t708-b1F52-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8018,39498_shp,0,0
14,12,t72B-b1F52-slC,"West Hill - Downtown",0,8018,39644_shp,0,0
14,12,t76C-b1F51-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8017,39498_shp,0,0
14,12,t78F-b1F51-slC,"West Hill - Downtown",0,8017,39644_shp,0,0
14,12,t7D0-b1F52-slC,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,8018,39498_shp,0,0
14,12,t7F3-b1F52-slC,"West Hill - Downtown",0,8018,39644_shp,0,0
14,13,t320-b1B5E-slD,"West Hill - Cayuga Medical Center",1,7006,39517_shp,0,0
14,13,t339-b1B5E-slD,"Overlook-Linderman-W Village-Downtown",0,7006,39638_shp,0,0
14,13,t3E8-b1B5E-slD,"West Hill - Cayuga Medical Center",1,7006,39517_shp,0,0
14,13,t403-b1B5E-slD,"Overlook-Linderman-W Village-Downtown",0,7006,39638_shp,0,0
14,13,t4B0-b1B5E-slD,"West Hill - Cayuga Medical Center",1,7006,39517_shp,0,0
14,13,t4CB-b1B5E-slD,"Overlook-Linderman-W Village-Downtown",0,7006,39638_shp,0,0
14,13,t578-b1B5E-slD,"West Hill - Cayuga Medical Center",1,7006,39517_shp,0,0
14,13,t593-b1B5E-slD,"Overlook-Linderman-W Village-Downtown",0,7006,39638_shp,0,0
14,13,t640-b1B5E-slD,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,7006,39487_shp,0,0
14,13,t663-b1B5E-slD,"West Hill - Downtown",0,7006,39634_shp,0,0
14,13,t708-b1B5E-slD,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,7006,39487_shp,0,0
14,13,t72B-b1B5E-slD,"West Hill - Downtown",0,7006,39634_shp,0,0
14,13,t7D0-b1B5E-slD,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,7006,39487_shp,0,0
14,13,t7F3-b1B5E-slD,"West Hill - Downtown",0,7006,39634_shp,0,0
14,15,t320-b232F-slF,"West Hill - Cayuga Medical Center",1,9007,39470_shp,0,0
14,15,t339-b232F-slF,"Overlook-Linderman-W Village-Downtown",0,9007,39510_shp,0,0
14,15,t3E8-b232F-slF,"West Hill - Cayuga Medical Center",1,9007,39470_shp,0,0
14,15,t3F4-b2334-slF,"W Hill-Shopping",1,9012,39393_shp,0,0
14,15,t403-b232F-slF,"Overlook-Linderman-W Village-Downtown",0,9007,39510_shp,0,0
14,15,t4B0-b232F-slF,"West Hill - Cayuga Medical Center",1,9007,39470_shp,0,0
14,15,t4CB-b232F-slF,"Overlook-Linderman-W Village-Downtown",0,9007,39510_shp,0,0
14,15,t578-b232F-slF,"West Hill - Cayuga Medical Center",1,9007,39470_shp,0,0
14,15,t593-b232F-slF,"Overlook-Linderman-W Village-Downtown",0,9007,39510_shp,0,0
14,15,t640-b232F-slF,"W Vill-Linderman-Overlook-Cayuga Med Ctr",1,9007,39640_shp,0,0
